,sentence,entity A,entity B
30,"Yet they spent less time attending school events and more time training their children at home : reading to them , quizzing them on their multiplication tables while they were cooking dinner , and pushing them to try harder .","('they', 3018)","('them', 505)"
31,"Yet they spent less time attending school events and more time training their children at home : reading to them , quizzing them on their multiplication tables while they were cooking dinner , and pushing them to try harder .","('they', 3018)","('them', 505)"
32,"Yet they spent less time attending school events and more time training their children at home : reading to them , quizzing them on their multiplication tables while they were cooking dinner , and pushing them to try harder .","('they', 3018)","('them', 505)"
33,"Nor had he been invited to join the wedding guests for champagne in the state rooms ; instead , he had to make do with a cup of tea in the servants ’ hall .","('he', 3564)","('the wedding guests', 6705)"
34,I had even kept a browser opened to my Gmail account just so I ’d always be online and available to chat on Google Talk so they could see me .,"('they', 488)","('me', 0)"
35,"She apologized to the startled Johansson , who was busy rinsing an elderly woman ’s mouth , and asked if she could borrow the model of an old motorcycle from the bookcase behind him .","('She', 783)","('Johansson', 724)"
36,"She apologized to the startled Johansson , who was busy rinsing an elderly woman ’s mouth , and asked if she could borrow the model of an old motorcycle from the bookcase behind him .","('Johansson', 724)","('an elderly woman', 2281)"
37,He called the creature Eve .,"('He', 112)","('Eve', 115)"
38,"In November of that year , the police moved in and began arresting protestors , many of whom were Haida elders who had insisted on being on the front lines .","('the police', 4040)","('protestors', 6007)"
39,"In November of that year , the police moved in and began arresting protestors , many of whom were Haida elders who had insisted on being on the front lines .","('the police', 4040)","('Haida elders who had insisted on being on the front lines', 6008)"
40,I am looked to by people in the host country for things I can not deliver — for words of hope in which I do not myself believe .,"('I', 0)","('people in the host country', 12395)"
41,She had wanted to kiss him .,"('She', 291)","('him', 3484)"
42,"Though they call him Julian , he has three legacy names — the first for his father , the second for Cynthia ’s father , and finally for John ’s mother .","('they', 1799)","('Julian', 599)"
43,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('him', 1364)"
44,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('him', 1364)"
45,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('his', 1364)"
46,"You looked up , uneasily , and casually pulled a notebook over the essay , as if to hide the evidence from Tom .","('You', 1167)","('Tom', 221)"
47,“ Not a secret that I want you — seems to go both ways .,"('I', 74)","('you', 0)"
48,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('Zim', 606)","('Pedro', 479)"
49,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('you', 3374)","('an old man', 3375)"
50,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('he', 224)","('his father', 978)"
51,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('Tyr', 259)","('Fenris Wolf', 240)"
52,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('Darrin', 20)","('her', 1762)"
53,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('Darrin', 20)","('her', 1762)"
54,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('Darrin', 20)","('her', 1762)"
55,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('he', 20)","('her', 1762)"
56,But I do n’t want to hear this shit about me ditching you for Mina . ”,"('me', 0)","('you', 0)"
57,But I do n’t want to hear this shit about me ditching you for Mina . ”,"('me', 0)","('Mina', 87)"
58,"“ I ’m going to stop in Atlanta first , ” he told her instead .","('he', 5225)","('her', 674)"
59,"She gushed over me for a bit , making sure everything was ok .","('She', 75)","('me', 0)"
60,"And what about the reading of poetry by others , which teachers keep telling us is so important , is in fact crucial to a poet ’s apprenticeship ?","('teachers', 982)","('us', 1156)"
61,She ’d lost David .,"('She', 385)","('David', 264)"
62,"He told Ike that he might have overemphasized the editorial fallout in Washington , and that “ no one has called for Patton ’s removal .","('He', 2790)","('Ike', 2790)"
63,"The NME trailed the band from Amsterdam to Paris for the cover feature , and Cummins photographed them in front of the Eiffel Tower .","('Cummins', 687)","('them', 4566)"
64,"Mom ’s warning to my sister may seem harsh , but my family knows not to underestimate Alta ’s sleeping - in abilities .","('Mom', 57)","('my sister', 331)"
65,"Mom ’s warning to my sister may seem harsh , but my family knows not to underestimate Alta ’s sleeping - in abilities .","('my family', 2562)","('Alta', 80)"
66,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('he', 314)","('other women', 3184)"
67,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('he', 314)","('Lucy', 315)"
68,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('me', 0)"
69,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('you', 0)"
70,"Daniela asks , “ How could you do this to me ?","('you', 3028)","('me', 112)"
71,"Brandy laughed , and Hannah hushed her .","('Hannah', 28)","('her', 27)"
72,But you wo n’t be with me .,"('you', 0)","('me', 0)"
73,"When Dad knew whom Aunt Gloria was really trying to get away from and why he did n’t help her , I did n’t ask .","('he', 589)","('her', 775)"
74,"But more important , when the film is premiered , there is a round - faced fellow with a receding hairline in the fifteenth row who ’d once held Anna in awe ; and while he ’d only been the director of the Moscow Department of Cinematographic Arts when he had the pleasure of meeting her in the Shalyapin back in 1923 , he was now a senior official in the Ministry of Culture and rumored to be the likely successor to its current chief .","('he', 4306)","('her', 452)"
75,"But more important , when the film is premiered , there is a round - faced fellow with a receding hairline in the fifteenth row who ’d once held Anna in awe ; and while he ’d only been the director of the Moscow Department of Cinematographic Arts when he had the pleasure of meeting her in the Shalyapin back in 1923 , he was now a senior official in the Ministry of Culture and rumored to be the likely successor to its current chief .","('he', 4306)","('its current chief', 4311)"
76,But Zwarst was n’t sure if his friend had raped her .,"('his friend', 2202)","('her', 516)"
77,What I ’ve learned from Papaw Phil about never giving up is that there is nothing wrong with starting small if you just keep going .,"('I', 0)","('Papaw Phil', 54)"
78,"An elderly philologist told Glikman that only once before in his lifetime had he witnessed such a vast and insistent ovation : forty - four years previously , when Tchaikovsky had conducted the premiere of his Sixth Symphony .","('An elderly philologist', 1135)","('Glikman', 188)"
79,"An elderly philologist told Glikman that only once before in his lifetime had he witnessed such a vast and insistent ovation : forty - four years previously , when Tchaikovsky had conducted the premiere of his Sixth Symphony .","('he', 208)","('Tchaikovsky', 173)"
80,"The Prince of the Ravens will teach you how to spot this kind of creature , so you will not be so surprised again . ”","('The Prince of the Ravens', 17051)","('you', 5311)"
81,"With Iger ’s blessing , then , we set about drafting a document that came to be known as “ The Five Year Social Compact . ”","('Iger', 3829)","('we', 3809)"
82,Make sure the camera ’s working in the main booth so we can upload pictures to social media while we ’re interviewing him .,"('we', 145)","('him', 28)"
83,"“ Roderick , I told you not to lean on that shelf !","('I', 846)","('you', 0)"
84,The only sadness to the trip was that Johnny Lucinge was not well enough to accompany her .,"('Johnny Lucinge', 4637)","('her', 25087)"
85,Let me talk to her .,"('me', 0)","('her', 160)"
86,"And I asked him if he was serious , and he said he was .","('I', 0)","('him', 97)"
87,A swimmer was hurriedly dispatched to warn the sultan that collapse was imminent and Saladin quickly launched a counter - attack .,"('A swimmer', 14676)","('the sultan', 1842)"
88,Ryan led him into the kitchen .,"('Ryan', 1063)","('him', 1700)"
89,"For as long as Margaret has known Drake , she has never seen him drive .","('Margaret', 299)","('Drake', 310)"
90,"For as long as Margaret has known Drake , she has never seen him drive .","('she', 299)","('him', 310)"
91,I need you operational .,"('I', 0)","('you', 98)"
92,They were unquestionably wealthier than the family members who had stayed in Kentucky .,"('They', 1188)","('the family members who had stayed in Kentucky', 1195)"
93,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Arundhati Ghose', 626)","('Haksar', 624)"
94,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Arundhati Ghose', 626)","('Haksar', 624)"
95,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Arundhati Ghose', 626)","('him', 624)"
96,"“ And now that I have Nicholas , I can finally take one . ”","('I', 772)","('Nicholas', 798)"
97,Why is he still with you ? ”,"('he', 53)","('you', 51)"
98,"Mashood Al - Fakeeh , the analysts believe , is in fact Ilyas Shishani , a Chechen radical who reportedly joined forces with Ansar Al - Islam .","('Mashood Al - Fakeeh', 264)","('Ilyas Shishani', 197)"
99,"Mashood Al - Fakeeh , the analysts believe , is in fact Ilyas Shishani , a Chechen radical who reportedly joined forces with Ansar Al - Islam .","('the analysts', 964)","('Mashood Al - Fakeeh', 264)"
100,Catherine is visiting from Philadelphia with her family .,"('Catherine', 105)","('her family', 716)"
101,“ I feel like we do n’t know you at all . ”,"('we', 931)","('you', 50)"
102,"THEIR REPORT could have been taken directly from the Radium Girl case files : necrosis in both jaws , anemia , brain abscess ( in the right cerebral cortex ) , damaged kidneys , and ravaged bone marrow , “ all symptomatic of radium poisoning , ” Norris reported to the mayor .","('Norris', 367)","('the mayor', 1249)"
103,Needing to hear what this boy has to say about her .,"('this boy', 1419)","('her', 59)"
104,"He had n’t even had time to eat breakfast or brush his teeth , which made him self - conscious , knowing he was going to be sitting so close to her .","('he', 256)","('her', 377)"
105,"“ But he really liked you , ” said Henry .","('he', 151)","('you', 166)"
106,"the Serpent King snarled , waking me out of my trancelike state .","('the Serpent King', 2573)","('me', 0)"
107,"Her body spasms into mine , and we tremble together as she clutches my neck in a chokehold with her knees .","('Her', 79)","('mine', 0)"
108,"Her body spasms into mine , and we tremble together as she clutches my neck in a chokehold with her knees .","('she', 79)","('my', 0)"
109,“ You ’re going out with him tonight ? ”,"('You', 99)","('him', 61)"
110,"And I realized , as the summer matured and I frequently visited Zoë without Denny , that I was a part of this , too .","('I', 0)","('Denny', 169)"
111,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('Lamon', 1735)","('the president', 2211)"
112,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('he', 1735)","('Lincoln', 1146)"
113,"She looks at me as I hand her some tiny earphones , and she puts them into her ears before I press a button .","('She', 53)","('me', 0)"
114,"She looks at me as I hand her some tiny earphones , and she puts them into her ears before I press a button .","('I', 0)","('her', 53)"
115,"We have n’t had her round in such a long time , and if you were to go and see her , even if it ’s a bit awkward … but you know , it ’s not as though she does n’t understand the difficulty .","('We', 1814)","('her', 1813)"
116,"We have n’t had her round in such a long time , and if you were to go and see her , even if it ’s a bit awkward … but you know , it ’s not as though she does n’t understand the difficulty .","('you', 16)","('her', 1813)"
