,sentence,entity A,entity B
75,Ryan led him into the kitchen .,"('Ryan', 1063)","('him', 1700)"
76,"For as long as Margaret has known Drake , she has never seen him drive .","('Margaret', 299)","('Drake', 310)"
77,I need you operational .,"('I', 0)","('you', 98)"
78,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Ghose', 626)","('Haksar', 624)"
79,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Ghose', 626)","('him', 624)"
80,"“ And now that I have Nicholas , I can finally take one . ”","('I', 772)","('Nicholas', 798)"
81,"My diet , up to that point , consisted entirely of organic hamburger patties , spinach - and - cheese ravioli ( which I called grass ravioli ) , and pancakes my dad made in the shape of mice or guns .","('My', 0)","('dad', 614)"
82,Why is he still with you ? ”,"('he', 53)","('you', 51)"
83,"Mashood Al - Fakeeh , the analysts believe , is in fact Ilyas Shishani , a Chechen radical who reportedly joined forces with Ansar Al - Islam .","('Fakeeh', 264)","('Shishani', 197)"
84,Catherine is visiting from Philadelphia with her family .,"('Catherine', 105)","('family', 716)"
85,“ I feel like we do n’t know you at all . ”,"('I', 67)","('you', 50)"
86,“ I feel like we do n’t know you at all . ”,"('we', 931)","('you', 50)"
87,"THEIR REPORT could have been taken directly from the Radium Girl case files : necrosis in both jaws , anemia , brain abscess ( in the right cerebral cortex ) , damaged kidneys , and ravaged bone marrow , “ all symptomatic of radium poisoning , ” Norris reported to the mayor .","('Norris', 367)","('mayor', 1249)"
88,Needing to hear what this boy has to say about her .,"('boy', 1419)","('her', 59)"
89,"He had n’t even had time to eat breakfast or brush his teeth , which made him self - conscious , knowing he was going to be sitting so close to her .","('he', 256)","('her', 377)"
90,"“ But he really liked you , ” said Henry .","('he', 151)","('you', 166)"
91,"the Serpent King snarled , waking me out of my trancelike state .","('King', 2573)","('me', 0)"
92,"Her body spasms into mine , and we tremble together as she clutches my neck in a chokehold with her knees .","('she', 79)","('my', 0)"
93,“ You ’re going out with him tonight ? ”,"('You', 99)","('him', 61)"
94,"And I realized , as the summer matured and I frequently visited Zoë without Denny , that I was a part of this , too .","('I', 0)","('Denny', 169)"
95,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('Lamon', 1735)","('president', 2211)"
96,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('Lamon', 1735)","('Lincoln', 1146)"
97,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('he', 1735)","('Lincoln', 1146)"
98,"She looks at me as I hand her some tiny earphones , and she puts them into her ears before I press a button .","('She', 53)","('me', 0)"
99,"She looks at me as I hand her some tiny earphones , and she puts them into her ears before I press a button .","('I', 0)","('her', 53)"
100,"We have n’t had her round in such a long time , and if you were to go and see her , even if it ’s a bit awkward … but you know , it ’s not as though she does n’t understand the difficulty .","('We', 1814)","('her', 1813)"
101,"We have n’t had her round in such a long time , and if you were to go and see her , even if it ’s a bit awkward … but you know , it ’s not as though she does n’t understand the difficulty .","('you', 16)","('her', 1813)"
